prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,notes,token_count_actual,token_ids_json,token_strs_json
B01,logical_relational,conditional_comparison,,"If Alice is older than Bob, then Alice is the oldest.",Classic transitive/comparative logic,13,"[1532, 14862, 318, 4697, 621, 5811, 11, 788, 14862, 318, 262, 13325, 13]","[""If"", ""\u0120Alice"", ""\u0120is"", ""\u0120older"", ""\u0120than"", ""\u0120Bob"", "","", ""\u0120then"", ""\u0120Alice"", ""\u0120is"", ""\u0120the"", ""\u0120oldest"", "".""]"
B02,logical_relational,conditional_set,,"If every rose is red, then this flower is red.",Universal inclusion,12,"[1532, 790, 8278, 318, 2266, 11, 788, 428, 15061, 318, 2266, 13]","[""If"", ""\u0120every"", ""\u0120rose"", ""\u0120is"", ""\u0120red"", "","", ""\u0120then"", ""\u0120this"", ""\u0120flower"", ""\u0120is"", ""\u0120red"", "".""]"
B03,logical_relational,conditional_negation,,"If no bird can swim, then this duck cannot swim.",Negation plus class membership,12,"[1532, 645, 6512, 460, 9422, 11, 788, 428, 22045, 2314, 9422, 13]","[""If"", ""\u0120no"", ""\u0120bird"", ""\u0120can"", ""\u0120swim"", "","", ""\u0120then"", ""\u0120this"", ""\u0120duck"", ""\u0120cannot"", ""\u0120swim"", "".""]"
B04,logical_relational,transitive_comparison,,"If Carl is taller than Dana, and Dana is taller than Eric, then Carl is tallest.",Multi-step relation,19,"[1532, 8124, 318, 25242, 621, 22937, 11, 290, 22937, 318, 25242, 621, 7651, 11, 788, 8124, 318, 38760, 13]","[""If"", ""\u0120Carl"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Dana"", "","", ""\u0120and"", ""\u0120Dana"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Eric"", "","", ""\u0120then"", ""\u0120Carl"", ""\u0120is"", ""\u0120tallest"", "".""]"
B05,logical_relational,conditional_order,,"If the lamp is above the desk, then the desk is below the lamp.",Spatial reversal relation,16,"[1532, 262, 20450, 318, 2029, 262, 6915, 11, 788, 262, 6915, 318, 2174, 262, 20450, 13]","[""If"", ""\u0120the"", ""\u0120lamp"", ""\u0120is"", ""\u0120above"", ""\u0120the"", ""\u0120desk"", "","", ""\u0120then"", ""\u0120the"", ""\u0120desk"", ""\u0120is"", ""\u0120below"", ""\u0120the"", ""\u0120lamp"", "".""]"
B06,logical_relational,conditional_identity,,"If the key opens the chest, then the chest opens with the key.",Role reversal / dependency,15,"[1532, 262, 1994, 9808, 262, 7721, 11, 788, 262, 7721, 9808, 351, 262, 1994, 13]","[""If"", ""\u0120the"", ""\u0120key"", ""\u0120opens"", ""\u0120the"", ""\u0120chest"", "","", ""\u0120then"", ""\u0120the"", ""\u0120chest"", ""\u0120opens"", ""\u0120with"", ""\u0120the"", ""\u0120key"", "".""]"
B07,logical_relational,conditional_membership,,"If every square is blue, then this tile is blue.",Simple inclusion variant,12,"[1532, 790, 6616, 318, 4171, 11, 788, 428, 17763, 318, 4171, 13]","[""If"", ""\u0120every"", ""\u0120square"", ""\u0120is"", ""\u0120blue"", "","", ""\u0120then"", ""\u0120this"", ""\u0120tile"", ""\u0120is"", ""\u0120blue"", "".""]"
B08,logical_relational,conditional_exclusion,,"If no cat is silent, then this kitten is not silent.",Negated class property,13,"[1532, 645, 3797, 318, 10574, 11, 788, 428, 42143, 318, 407, 10574, 13]","[""If"", ""\u0120no"", ""\u0120cat"", ""\u0120is"", ""\u0120silent"", "","", ""\u0120then"", ""\u0120this"", ""\u0120kitten"", ""\u0120is"", ""\u0120not"", ""\u0120silent"", "".""]"
B09,logical_relational,comparative_chain,,"If Mira is faster than Lena, and Lena is faster than Paul, then Mira is fastest.",Comparative chain,21,"[1532, 7381, 64, 318, 5443, 621, 44131, 11, 290, 44131, 318, 5443, 621, 3362, 11, 788, 7381, 64, 318, 14162, 13]","[""If"", ""\u0120Mir"", ""a"", ""\u0120is"", ""\u0120faster"", ""\u0120than"", ""\u0120Lena"", "","", ""\u0120and"", ""\u0120Lena"", ""\u0120is"", ""\u0120faster"", ""\u0120than"", ""\u0120Paul"", "","", ""\u0120then"", ""\u0120Mir"", ""a"", ""\u0120is"", ""\u0120fastest"", "".""]"
B10,logical_relational,conditional_containment,,"If the cup is inside the box, then the box contains the cup.",Containment relation,15,"[1532, 262, 6508, 318, 2641, 262, 3091, 11, 788, 262, 3091, 4909, 262, 6508, 13]","[""If"", ""\u0120the"", ""\u0120cup"", ""\u0120is"", ""\u0120inside"", ""\u0120the"", ""\u0120box"", "","", ""\u0120then"", ""\u0120the"", ""\u0120box"", ""\u0120contains"", ""\u0120the"", ""\u0120cup"", "".""]"
C01,structured_nonlogical,entity_rich,,Alice and Bob walked through the market beside the old fountain.,"Structured, named entities, non-logical",12,"[44484, 290, 5811, 6807, 832, 262, 1910, 13970, 262, 1468, 29420, 13]","[""Alice"", ""\u0120and"", ""\u0120Bob"", ""\u0120walked"", ""\u0120through"", ""\u0120the"", ""\u0120market"", ""\u0120beside"", ""\u0120the"", ""\u0120old"", ""\u0120fountain"", "".""]"
C02,structured_nonlogical,entity_rich,,Mira and Lena crossed the station near the silver railing.,"Structured, named entities, non-logical",12,"[44, 8704, 290, 44131, 12606, 262, 4429, 1474, 262, 8465, 47590, 13]","[""M"", ""ira"", ""\u0120and"", ""\u0120Lena"", ""\u0120crossed"", ""\u0120the"", ""\u0120station"", ""\u0120near"", ""\u0120the"", ""\u0120silver"", ""\u0120railing"", "".""]"
C03,structured_nonlogical,object_relation,,The red box beside the lamp held three letters and a coin.,"Structured object relation, non-deductive",13,"[464, 2266, 3091, 13970, 262, 20450, 2714, 1115, 7475, 290, 257, 10752, 13]","[""The"", ""\u0120red"", ""\u0120box"", ""\u0120beside"", ""\u0120the"", ""\u0120lamp"", ""\u0120held"", ""\u0120three"", ""\u0120letters"", ""\u0120and"", ""\u0120a"", ""\u0120coin"", "".""]"
C04,structured_nonlogical,object_relation,,The silver clock above the desk marked the end of morning.,"Structured object relation, non-deductive",12,"[464, 8465, 8801, 2029, 262, 6915, 7498, 262, 886, 286, 3329, 13]","[""The"", ""\u0120silver"", ""\u0120clock"", ""\u0120above"", ""\u0120the"", ""\u0120desk"", ""\u0120marked"", ""\u0120the"", ""\u0120end"", ""\u0120of"", ""\u0120morning"", "".""]"
C05,structured_nonlogical,entity_rich,,Carl and Dana waited near the garden beside the stone gate.,"Structured, named entities, non-logical",12,"[26886, 290, 22937, 13488, 1474, 262, 11376, 13970, 262, 7815, 8946, 13]","[""Carl"", ""\u0120and"", ""\u0120Dana"", ""\u0120waited"", ""\u0120near"", ""\u0120the"", ""\u0120garden"", ""\u0120beside"", ""\u0120the"", ""\u0120stone"", ""\u0120gate"", "".""]"
C06,structured_nonlogical,object_relation,,The narrow shelf above the bed supported a lamp and vase.,"Structured object relation, non-deductive",13,"[464, 7135, 18316, 2029, 262, 3996, 4855, 257, 20450, 290, 410, 589, 13]","[""The"", ""\u0120narrow"", ""\u0120shelf"", ""\u0120above"", ""\u0120the"", ""\u0120bed"", ""\u0120supported"", ""\u0120a"", ""\u0120lamp"", ""\u0120and"", ""\u0120v"", ""ase"", "".""]"
C07,structured_nonlogical,scene,,The blue train beyond the tunnel carried workers and grain.,Structured but non-logical,11,"[464, 4171, 4512, 3675, 262, 13275, 5281, 3259, 290, 13020, 13]","[""The"", ""\u0120blue"", ""\u0120train"", ""\u0120beyond"", ""\u0120the"", ""\u0120tunnel"", ""\u0120carried"", ""\u0120workers"", ""\u0120and"", ""\u0120grain"", "".""]"
C08,structured_nonlogical,scene,,The small boat beneath the bridge carried fruit and rope.,Structured but non-logical,11,"[464, 1402, 8848, 11061, 262, 7696, 5281, 8234, 290, 17182, 13]","[""The"", ""\u0120small"", ""\u0120boat"", ""\u0120beneath"", ""\u0120the"", ""\u0120bridge"", ""\u0120carried"", ""\u0120fruit"", ""\u0120and"", ""\u0120rope"", "".""]"
C09,structured_nonlogical,entity_rich,,Alice and Eric stood near the window beside the closed curtain.,"Structured, named entities, non-logical",12,"[44484, 290, 7651, 6204, 1474, 262, 4324, 13970, 262, 4838, 29461, 13]","[""Alice"", ""\u0120and"", ""\u0120Eric"", ""\u0120stood"", ""\u0120near"", ""\u0120the"", ""\u0120window"", ""\u0120beside"", ""\u0120the"", ""\u0120closed"", ""\u0120curtain"", "".""]"
C10,structured_nonlogical,scene,,The black dog beside the porch watched the passing carts.,Structured but non-logical,11,"[464, 2042, 3290, 13970, 262, 33179, 7342, 262, 6427, 44355, 13]","[""The"", ""\u0120black"", ""\u0120dog"", ""\u0120beside"", ""\u0120the"", ""\u0120porch"", ""\u0120watched"", ""\u0120the"", ""\u0120passing"", ""\u0120carts"", "".""]"
D01,semantic_abstract,abstract_evocative,,The hidden memory drifted slowly beneath the shape of longing.,Abstract / semantic difficulty,11,"[464, 7104, 4088, 38648, 6364, 11061, 262, 5485, 286, 40314, 13]","[""The"", ""\u0120hidden"", ""\u0120memory"", ""\u0120drifted"", ""\u0120slowly"", ""\u0120beneath"", ""\u0120the"", ""\u0120shape"", ""\u0120of"", ""\u0120longing"", "".""]"
D02,semantic_abstract,abstract_evocative,,The silent future pressed against the fragile edge of hope.,Abstract / semantic difficulty,11,"[464, 10574, 2003, 12070, 1028, 262, 21049, 5743, 286, 2911, 13]","[""The"", ""\u0120silent"", ""\u0120future"", ""\u0120pressed"", ""\u0120against"", ""\u0120the"", ""\u0120fragile"", ""\u0120edge"", ""\u0120of"", ""\u0120hope"", "".""]"
D03,semantic_abstract,abstract_evocative,,The unknown shadow moved across the border of meaning.,Abstract / semantic difficulty,10,"[464, 6439, 9082, 3888, 1973, 262, 4865, 286, 3616, 13]","[""The"", ""\u0120unknown"", ""\u0120shadow"", ""\u0120moved"", ""\u0120across"", ""\u0120the"", ""\u0120border"", ""\u0120of"", ""\u0120meaning"", "".""]"
D04,semantic_abstract,abstract_evocative,,The broken promise lingered within the chamber of regret.,Abstract / semantic difficulty,11,"[464, 5445, 6991, 18459, 1068, 1626, 262, 11847, 286, 13721, 13]","[""The"", ""\u0120broken"", ""\u0120promise"", ""\u0120ling"", ""ered"", ""\u0120within"", ""\u0120the"", ""\u0120chamber"", ""\u0120of"", ""\u0120regret"", "".""]"
D05,semantic_abstract,abstract_evocative,,The distant sorrow folded gently into the language of sleep.,Abstract / semantic difficulty,11,"[464, 12899, 24140, 24650, 15165, 656, 262, 3303, 286, 3993, 13]","[""The"", ""\u0120distant"", ""\u0120sorrow"", ""\u0120folded"", ""\u0120gently"", ""\u0120into"", ""\u0120the"", ""\u0120language"", ""\u0120of"", ""\u0120sleep"", "".""]"
D06,semantic_abstract,abstract_evocative,,The unfinished dream hovered above the threshold of memory.,Abstract / semantic difficulty,11,"[464, 34419, 4320, 289, 2557, 2029, 262, 11387, 286, 4088, 13]","[""The"", ""\u0120unfinished"", ""\u0120dream"", ""\u0120h"", ""overed"", ""\u0120above"", ""\u0120the"", ""\u0120threshold"", ""\u0120of"", ""\u0120memory"", "".""]"
D07,semantic_abstract,abstract_evocative,,The quiet absence settled deeply inside the room of thought.,Abstract / semantic difficulty,11,"[464, 5897, 8889, 10282, 7744, 2641, 262, 2119, 286, 1807, 13]","[""The"", ""\u0120quiet"", ""\u0120absence"", ""\u0120settled"", ""\u0120deeply"", ""\u0120inside"", ""\u0120the"", ""\u0120room"", ""\u0120of"", ""\u0120thought"", "".""]"
D08,semantic_abstract,abstract_evocative,,The fading signal trembled along the edge of understanding.,Abstract / semantic difficulty,11,"[464, 31465, 6737, 29868, 992, 1863, 262, 5743, 286, 4547, 13]","[""The"", ""\u0120fading"", ""\u0120signal"", ""\u0120tremb"", ""led"", ""\u0120along"", ""\u0120the"", ""\u0120edge"", ""\u0120of"", ""\u0120understanding"", "".""]"
D09,semantic_abstract,abstract_evocative,,The dark intuition circled beneath the surface of reason.,Abstract / semantic difficulty,10,"[464, 3223, 31563, 48149, 11061, 262, 4417, 286, 1738, 13]","[""The"", ""\u0120dark"", ""\u0120intuition"", ""\u0120circled"", ""\u0120beneath"", ""\u0120the"", ""\u0120surface"", ""\u0120of"", ""\u0120reason"", "".""]"
D10,semantic_abstract,abstract_evocative,,The fragile meaning dissolved within the pressure of silence.,Abstract / semantic difficulty,10,"[464, 21049, 3616, 26306, 1626, 262, 3833, 286, 9550, 13]","[""The"", ""\u0120fragile"", ""\u0120meaning"", ""\u0120dissolved"", ""\u0120within"", ""\u0120the"", ""\u0120pressure"", ""\u0120of"", ""\u0120silence"", "".""]"
E01,minimal_pair,descriptive_pair_base,P01,Alice is older than Bob and Alice is smiling today.,Minimal pair base for E02,11,"[44484, 318, 4697, 621, 5811, 290, 14862, 318, 16755, 1909, 13]","[""Alice"", ""\u0120is"", ""\u0120older"", ""\u0120than"", ""\u0120Bob"", ""\u0120and"", ""\u0120Alice"", ""\u0120is"", ""\u0120smiling"", ""\u0120today"", "".""]"
E02,minimal_pair,logical_pair_variant,P01,"If Alice is older than Bob, then Alice is the oldest.",Minimal pair logic variant,13,"[1532, 14862, 318, 4697, 621, 5811, 11, 788, 14862, 318, 262, 13325, 13]","[""If"", ""\u0120Alice"", ""\u0120is"", ""\u0120older"", ""\u0120than"", ""\u0120Bob"", "","", ""\u0120then"", ""\u0120Alice"", ""\u0120is"", ""\u0120the"", ""\u0120oldest"", "".""]"
E03,minimal_pair,descriptive_pair_base,P02,The bird is above the tree and the sky is bright.,Minimal pair base for E04,12,"[464, 6512, 318, 2029, 262, 5509, 290, 262, 6766, 318, 6016, 13]","[""The"", ""\u0120bird"", ""\u0120is"", ""\u0120above"", ""\u0120the"", ""\u0120tree"", ""\u0120and"", ""\u0120the"", ""\u0120sky"", ""\u0120is"", ""\u0120bright"", "".""]"
E04,minimal_pair,logical_pair_variant,P02,"If the bird is above the tree, then the tree is below the bird.",Minimal pair logic variant,16,"[1532, 262, 6512, 318, 2029, 262, 5509, 11, 788, 262, 5509, 318, 2174, 262, 6512, 13]","[""If"", ""\u0120the"", ""\u0120bird"", ""\u0120is"", ""\u0120above"", ""\u0120the"", ""\u0120tree"", "","", ""\u0120then"", ""\u0120the"", ""\u0120tree"", ""\u0120is"", ""\u0120below"", ""\u0120the"", ""\u0120bird"", "".""]"
E05,minimal_pair,descriptive_pair_base,P03,Carl is taller than Dana and Carl is wearing black.,Minimal pair base for E06,11,"[26886, 318, 25242, 621, 22937, 290, 8124, 318, 5762, 2042, 13]","[""Carl"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Dana"", ""\u0120and"", ""\u0120Carl"", ""\u0120is"", ""\u0120wearing"", ""\u0120black"", "".""]"
E06,minimal_pair,logical_pair_variant,P03,"If Carl is taller than Dana, then Dana is shorter than Carl.",Minimal pair logic variant,14,"[1532, 8124, 318, 25242, 621, 22937, 11, 788, 22937, 318, 12238, 621, 8124, 13]","[""If"", ""\u0120Carl"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Dana"", "","", ""\u0120then"", ""\u0120Dana"", ""\u0120is"", ""\u0120shorter"", ""\u0120than"", ""\u0120Carl"", "".""]"
E07,minimal_pair,descriptive_pair_base,P04,The cup is inside the box and the lid is closed.,Minimal pair base for E08,12,"[464, 6508, 318, 2641, 262, 3091, 290, 262, 19789, 318, 4838, 13]","[""The"", ""\u0120cup"", ""\u0120is"", ""\u0120inside"", ""\u0120the"", ""\u0120box"", ""\u0120and"", ""\u0120the"", ""\u0120lid"", ""\u0120is"", ""\u0120closed"", "".""]"
E08,minimal_pair,logical_pair_variant,P04,"If the cup is inside the box, then the box contains the cup.",Minimal pair logic variant,15,"[1532, 262, 6508, 318, 2641, 262, 3091, 11, 788, 262, 3091, 4909, 262, 6508, 13]","[""If"", ""\u0120the"", ""\u0120cup"", ""\u0120is"", ""\u0120inside"", ""\u0120the"", ""\u0120box"", "","", ""\u0120then"", ""\u0120the"", ""\u0120box"", ""\u0120contains"", ""\u0120the"", ""\u0120cup"", "".""]"
E09,minimal_pair,descriptive_pair_base,P05,Every rose is red and this flower smells sweet tonight.,Minimal pair base for E10,11,"[6109, 8278, 318, 2266, 290, 428, 15061, 25760, 6029, 9975, 13]","[""Every"", ""\u0120rose"", ""\u0120is"", ""\u0120red"", ""\u0120and"", ""\u0120this"", ""\u0120flower"", ""\u0120smells"", ""\u0120sweet"", ""\u0120tonight"", "".""]"
E10,minimal_pair,logical_pair_variant,P05,"If every rose is red, then this flower is red.",Minimal pair logic variant,12,"[1532, 790, 8278, 318, 2266, 11, 788, 428, 15061, 318, 2266, 13]","[""If"", ""\u0120every"", ""\u0120rose"", ""\u0120is"", ""\u0120red"", "","", ""\u0120then"", ""\u0120this"", ""\u0120flower"", ""\u0120is"", ""\u0120red"", "".""]"
