prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,notes,token_count_actual,token_ids_json,token_strs_json
B01,logical_relational,conditional_comparison,,"If Alice is older than Bob, then Alice is the oldest.",Classic transitive/comparative logic,13,"[2679, 29405, 374, 9014, 1091, 14261, 11, 1221, 29405, 374, 279, 23513, 13]","[""If"", ""\u0120Alice"", ""\u0120is"", ""\u0120older"", ""\u0120than"", ""\u0120Bob"", "","", ""\u0120then"", ""\u0120Alice"", ""\u0120is"", ""\u0120the"", ""\u0120oldest"", "".""]"
B02,logical_relational,conditional_set,,"If every rose is red, then this flower is red.",Universal inclusion,12,"[2679, 1449, 16009, 374, 2518, 11, 1221, 419, 22351, 374, 2518, 13]","[""If"", ""\u0120every"", ""\u0120rose"", ""\u0120is"", ""\u0120red"", "","", ""\u0120then"", ""\u0120this"", ""\u0120flower"", ""\u0120is"", ""\u0120red"", "".""]"
B03,logical_relational,conditional_negation,,"If no bird can swim, then this duck cannot swim.",Negation plus class membership,12,"[2679, 902, 11958, 646, 16191, 11, 1221, 419, 35985, 4157, 16191, 13]","[""If"", ""\u0120no"", ""\u0120bird"", ""\u0120can"", ""\u0120swim"", "","", ""\u0120then"", ""\u0120this"", ""\u0120duck"", ""\u0120cannot"", ""\u0120swim"", "".""]"
B04,logical_relational,transitive_comparison,,"If Carl is taller than Dana, and Dana is taller than Eric, then Carl is tallest.",Multi-step relation,19,"[2679, 21998, 374, 49909, 1091, 46613, 11, 323, 46613, 374, 49909, 1091, 16247, 11, 1221, 21998, 374, 81617, 13]","[""If"", ""\u0120Carl"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Dana"", "","", ""\u0120and"", ""\u0120Dana"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Eric"", "","", ""\u0120then"", ""\u0120Carl"", ""\u0120is"", ""\u0120tallest"", "".""]"
B05,logical_relational,conditional_order,,"If the lamp is above the desk, then the desk is below the lamp.",Spatial reversal relation,16,"[2679, 279, 27962, 374, 3403, 279, 18010, 11, 1221, 279, 18010, 374, 3685, 279, 27962, 13]","[""If"", ""\u0120the"", ""\u0120lamp"", ""\u0120is"", ""\u0120above"", ""\u0120the"", ""\u0120desk"", "","", ""\u0120then"", ""\u0120the"", ""\u0120desk"", ""\u0120is"", ""\u0120below"", ""\u0120the"", ""\u0120lamp"", "".""]"
B06,logical_relational,conditional_identity,,"If the key opens the chest, then the chest opens with the key.",Role reversal / dependency,15,"[2679, 279, 1376, 15885, 279, 15138, 11, 1221, 279, 15138, 15885, 448, 279, 1376, 13]","[""If"", ""\u0120the"", ""\u0120key"", ""\u0120opens"", ""\u0120the"", ""\u0120chest"", "","", ""\u0120then"", ""\u0120the"", ""\u0120chest"", ""\u0120opens"", ""\u0120with"", ""\u0120the"", ""\u0120key"", "".""]"
B07,logical_relational,conditional_membership,,"If every square is blue, then this tile is blue.",Simple inclusion variant,12,"[2679, 1449, 9334, 374, 6303, 11, 1221, 419, 10023, 374, 6303, 13]","[""If"", ""\u0120every"", ""\u0120square"", ""\u0120is"", ""\u0120blue"", "","", ""\u0120then"", ""\u0120this"", ""\u0120tile"", ""\u0120is"", ""\u0120blue"", "".""]"
B08,logical_relational,conditional_exclusion,,"If no cat is silent, then this kitten is not silent.",Negated class property,13,"[2679, 902, 8251, 374, 21059, 11, 1221, 419, 76657, 374, 537, 21059, 13]","[""If"", ""\u0120no"", ""\u0120cat"", ""\u0120is"", ""\u0120silent"", "","", ""\u0120then"", ""\u0120this"", ""\u0120kitten"", ""\u0120is"", ""\u0120not"", ""\u0120silent"", "".""]"
B09,logical_relational,comparative_chain,,"If Mira is faster than Lena, and Lena is faster than Paul, then Mira is fastest.",Comparative chain,21,"[2679, 386, 8832, 374, 10596, 1091, 81062, 11, 323, 81062, 374, 10596, 1091, 6898, 11, 1221, 386, 8832, 374, 25648, 13]","[""If"", ""\u0120M"", ""ira"", ""\u0120is"", ""\u0120faster"", ""\u0120than"", ""\u0120Lena"", "","", ""\u0120and"", ""\u0120Lena"", ""\u0120is"", ""\u0120faster"", ""\u0120than"", ""\u0120Paul"", "","", ""\u0120then"", ""\u0120M"", ""ira"", ""\u0120is"", ""\u0120fastest"", "".""]"
B10,logical_relational,conditional_containment,,"If the cup is inside the box, then the box contains the cup.",Containment relation,15,"[2679, 279, 10525, 374, 4766, 279, 3745, 11, 1221, 279, 3745, 5610, 279, 10525, 13]","[""If"", ""\u0120the"", ""\u0120cup"", ""\u0120is"", ""\u0120inside"", ""\u0120the"", ""\u0120box"", "","", ""\u0120then"", ""\u0120the"", ""\u0120box"", ""\u0120contains"", ""\u0120the"", ""\u0120cup"", "".""]"
C01,structured_nonlogical,entity_rich,,Alice and Bob walked through the market beside the old fountain.,"Structured, named entities, non-logical",12,"[61686, 323, 14261, 14858, 1526, 279, 3081, 29388, 279, 2310, 56613, 13]","[""Alice"", ""\u0120and"", ""\u0120Bob"", ""\u0120walked"", ""\u0120through"", ""\u0120the"", ""\u0120market"", ""\u0120beside"", ""\u0120the"", ""\u0120old"", ""\u0120fountain"", "".""]"
C02,structured_nonlogical,entity_rich,,Mira and Lena crossed the station near the silver railing.,"Structured, named entities, non-logical",12,"[44, 8832, 323, 81062, 27031, 279, 8056, 3143, 279, 14961, 91830, 13]","[""M"", ""ira"", ""\u0120and"", ""\u0120Lena"", ""\u0120crossed"", ""\u0120the"", ""\u0120station"", ""\u0120near"", ""\u0120the"", ""\u0120silver"", ""\u0120railing"", "".""]"
C03,structured_nonlogical,object_relation,,The red box beside the lamp held three letters and a coin.,"Structured object relation, non-deductive",13,"[785, 2518, 3745, 29388, 279, 27962, 5644, 2326, 11931, 323, 264, 16254, 13]","[""The"", ""\u0120red"", ""\u0120box"", ""\u0120beside"", ""\u0120the"", ""\u0120lamp"", ""\u0120held"", ""\u0120three"", ""\u0120letters"", ""\u0120and"", ""\u0120a"", ""\u0120coin"", "".""]"
C04,structured_nonlogical,object_relation,,The silver clock above the desk marked the end of morning.,"Structured object relation, non-deductive",12,"[785, 14961, 8866, 3403, 279, 18010, 12864, 279, 835, 315, 6556, 13]","[""The"", ""\u0120silver"", ""\u0120clock"", ""\u0120above"", ""\u0120the"", ""\u0120desk"", ""\u0120marked"", ""\u0120the"", ""\u0120end"", ""\u0120of"", ""\u0120morning"", "".""]"
C05,structured_nonlogical,entity_rich,,Carl and Dana waited near the garden beside the stone gate.,"Structured, named entities, non-logical",12,"[76164, 323, 46613, 29215, 3143, 279, 13551, 29388, 279, 9798, 18126, 13]","[""Carl"", ""\u0120and"", ""\u0120Dana"", ""\u0120waited"", ""\u0120near"", ""\u0120the"", ""\u0120garden"", ""\u0120beside"", ""\u0120the"", ""\u0120stone"", ""\u0120gate"", "".""]"
C06,structured_nonlogical,object_relation,,The narrow shelf above the bed supported a lamp and vase.,"Structured object relation, non-deductive",12,"[785, 15026, 27645, 3403, 279, 4845, 7248, 264, 27962, 323, 92384, 13]","[""The"", ""\u0120narrow"", ""\u0120shelf"", ""\u0120above"", ""\u0120the"", ""\u0120bed"", ""\u0120supported"", ""\u0120a"", ""\u0120lamp"", ""\u0120and"", ""\u0120vase"", "".""]"
C07,structured_nonlogical,scene,,The blue train beyond the tunnel carried workers and grain.,Structured but non-logical,11,"[785, 6303, 5426, 7797, 279, 25629, 11691, 7337, 323, 23925, 13]","[""The"", ""\u0120blue"", ""\u0120train"", ""\u0120beyond"", ""\u0120the"", ""\u0120tunnel"", ""\u0120carried"", ""\u0120workers"", ""\u0120and"", ""\u0120grain"", "".""]"
C08,structured_nonlogical,scene,,The small boat beneath the bridge carried fruit and rope.,Structured but non-logical,11,"[785, 2613, 15328, 23969, 279, 14164, 11691, 13779, 323, 33420, 13]","[""The"", ""\u0120small"", ""\u0120boat"", ""\u0120beneath"", ""\u0120the"", ""\u0120bridge"", ""\u0120carried"", ""\u0120fruit"", ""\u0120and"", ""\u0120rope"", "".""]"
C09,structured_nonlogical,entity_rich,,Alice and Eric stood near the window beside the closed curtain.,"Structured, named entities, non-logical",12,"[61686, 323, 16247, 14638, 3143, 279, 3241, 29388, 279, 7877, 45766, 13]","[""Alice"", ""\u0120and"", ""\u0120Eric"", ""\u0120stood"", ""\u0120near"", ""\u0120the"", ""\u0120window"", ""\u0120beside"", ""\u0120the"", ""\u0120closed"", ""\u0120curtain"", "".""]"
C10,structured_nonlogical,scene,,The black dog beside the porch watched the passing carts.,Structured but non-logical,11,"[785, 3691, 5562, 29388, 279, 44647, 15384, 279, 12299, 65404, 13]","[""The"", ""\u0120black"", ""\u0120dog"", ""\u0120beside"", ""\u0120the"", ""\u0120porch"", ""\u0120watched"", ""\u0120the"", ""\u0120passing"", ""\u0120carts"", "".""]"
D01,semantic_abstract,abstract_evocative,,The hidden memory drifted slowly beneath the shape of longing.,Abstract / semantic difficulty,11,"[785, 8177, 4938, 91562, 13970, 23969, 279, 6083, 315, 78322, 13]","[""The"", ""\u0120hidden"", ""\u0120memory"", ""\u0120drifted"", ""\u0120slowly"", ""\u0120beneath"", ""\u0120the"", ""\u0120shape"", ""\u0120of"", ""\u0120longing"", "".""]"
D02,semantic_abstract,abstract_evocative,,The silent future pressed against the fragile edge of hope.,Abstract / semantic difficulty,11,"[785, 21059, 3853, 17320, 2348, 279, 44250, 6821, 315, 3900, 13]","[""The"", ""\u0120silent"", ""\u0120future"", ""\u0120pressed"", ""\u0120against"", ""\u0120the"", ""\u0120fragile"", ""\u0120edge"", ""\u0120of"", ""\u0120hope"", "".""]"
D03,semantic_abstract,abstract_evocative,,The unknown shadow moved across the border of meaning.,Abstract / semantic difficulty,10,"[785, 9788, 12455, 7726, 3941, 279, 3886, 315, 7290, 13]","[""The"", ""\u0120unknown"", ""\u0120shadow"", ""\u0120moved"", ""\u0120across"", ""\u0120the"", ""\u0120border"", ""\u0120of"", ""\u0120meaning"", "".""]"
D04,semantic_abstract,abstract_evocative,,The broken promise lingered within the chamber of regret.,Abstract / semantic difficulty,11,"[785, 10865, 11222, 39509, 291, 2878, 279, 24220, 315, 22231, 13]","[""The"", ""\u0120broken"", ""\u0120promise"", ""\u0120linger"", ""ed"", ""\u0120within"", ""\u0120the"", ""\u0120chamber"", ""\u0120of"", ""\u0120regret"", "".""]"
D05,semantic_abstract,abstract_evocative,,The distant sorrow folded gently into the language of sleep.,Abstract / semantic difficulty,11,"[785, 28727, 57496, 47035, 29273, 1119, 279, 4128, 315, 6084, 13]","[""The"", ""\u0120distant"", ""\u0120sorrow"", ""\u0120folded"", ""\u0120gently"", ""\u0120into"", ""\u0120the"", ""\u0120language"", ""\u0120of"", ""\u0120sleep"", "".""]"
D06,semantic_abstract,abstract_evocative,,The unfinished dream hovered above the threshold of memory.,Abstract / semantic difficulty,10,"[785, 63616, 7904, 90451, 3403, 279, 12171, 315, 4938, 13]","[""The"", ""\u0120unfinished"", ""\u0120dream"", ""\u0120hovered"", ""\u0120above"", ""\u0120the"", ""\u0120threshold"", ""\u0120of"", ""\u0120memory"", "".""]"
D07,semantic_abstract,abstract_evocative,,The quiet absence settled deeply inside the room of thought.,Abstract / semantic difficulty,11,"[785, 11340, 19265, 22378, 17247, 4766, 279, 3054, 315, 3381, 13]","[""The"", ""\u0120quiet"", ""\u0120absence"", ""\u0120settled"", ""\u0120deeply"", ""\u0120inside"", ""\u0120the"", ""\u0120room"", ""\u0120of"", ""\u0120thought"", "".""]"
D08,semantic_abstract,abstract_evocative,,The fading signal trembled along the edge of understanding.,Abstract / semantic difficulty,11,"[785, 58517, 8286, 18162, 37659, 3156, 279, 6821, 315, 8660, 13]","[""The"", ""\u0120fading"", ""\u0120signal"", ""\u0120trem"", ""bled"", ""\u0120along"", ""\u0120the"", ""\u0120edge"", ""\u0120of"", ""\u0120understanding"", "".""]"
D09,semantic_abstract,abstract_evocative,,The dark intuition circled beneath the surface of reason.,Abstract / semantic difficulty,11,"[785, 6319, 56251, 4225, 832, 23969, 279, 7329, 315, 2874, 13]","[""The"", ""\u0120dark"", ""\u0120intuition"", ""\u0120circ"", ""led"", ""\u0120beneath"", ""\u0120the"", ""\u0120surface"", ""\u0120of"", ""\u0120reason"", "".""]"
D10,semantic_abstract,abstract_evocative,,The fragile meaning dissolved within the pressure of silence.,Abstract / semantic difficulty,10,"[785, 44250, 7290, 55667, 2878, 279, 7262, 315, 21162, 13]","[""The"", ""\u0120fragile"", ""\u0120meaning"", ""\u0120dissolved"", ""\u0120within"", ""\u0120the"", ""\u0120pressure"", ""\u0120of"", ""\u0120silence"", "".""]"
E01,minimal_pair,descriptive_pair_base,P01,Alice is older than Bob and Alice is smiling today.,Minimal pair base for E02,11,"[61686, 374, 9014, 1091, 14261, 323, 29405, 374, 36063, 3351, 13]","[""Alice"", ""\u0120is"", ""\u0120older"", ""\u0120than"", ""\u0120Bob"", ""\u0120and"", ""\u0120Alice"", ""\u0120is"", ""\u0120smiling"", ""\u0120today"", "".""]"
E02,minimal_pair,logical_pair_variant,P01,"If Alice is older than Bob, then Alice is the oldest.",Minimal pair logic variant,13,"[2679, 29405, 374, 9014, 1091, 14261, 11, 1221, 29405, 374, 279, 23513, 13]","[""If"", ""\u0120Alice"", ""\u0120is"", ""\u0120older"", ""\u0120than"", ""\u0120Bob"", "","", ""\u0120then"", ""\u0120Alice"", ""\u0120is"", ""\u0120the"", ""\u0120oldest"", "".""]"
E03,minimal_pair,descriptive_pair_base,P02,The bird is above the tree and the sky is bright.,Minimal pair base for E04,12,"[785, 11958, 374, 3403, 279, 4916, 323, 279, 12884, 374, 9906, 13]","[""The"", ""\u0120bird"", ""\u0120is"", ""\u0120above"", ""\u0120the"", ""\u0120tree"", ""\u0120and"", ""\u0120the"", ""\u0120sky"", ""\u0120is"", ""\u0120bright"", "".""]"
E04,minimal_pair,logical_pair_variant,P02,"If the bird is above the tree, then the tree is below the bird.",Minimal pair logic variant,16,"[2679, 279, 11958, 374, 3403, 279, 4916, 11, 1221, 279, 4916, 374, 3685, 279, 11958, 13]","[""If"", ""\u0120the"", ""\u0120bird"", ""\u0120is"", ""\u0120above"", ""\u0120the"", ""\u0120tree"", "","", ""\u0120then"", ""\u0120the"", ""\u0120tree"", ""\u0120is"", ""\u0120below"", ""\u0120the"", ""\u0120bird"", "".""]"
E05,minimal_pair,descriptive_pair_base,P03,Carl is taller than Dana and Carl is wearing black.,Minimal pair base for E06,11,"[76164, 374, 49909, 1091, 46613, 323, 21998, 374, 12233, 3691, 13]","[""Carl"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Dana"", ""\u0120and"", ""\u0120Carl"", ""\u0120is"", ""\u0120wearing"", ""\u0120black"", "".""]"
E06,minimal_pair,logical_pair_variant,P03,"If Carl is taller than Dana, then Dana is shorter than Carl.",Minimal pair logic variant,14,"[2679, 21998, 374, 49909, 1091, 46613, 11, 1221, 46613, 374, 23327, 1091, 21998, 13]","[""If"", ""\u0120Carl"", ""\u0120is"", ""\u0120taller"", ""\u0120than"", ""\u0120Dana"", "","", ""\u0120then"", ""\u0120Dana"", ""\u0120is"", ""\u0120shorter"", ""\u0120than"", ""\u0120Carl"", "".""]"
E07,minimal_pair,descriptive_pair_base,P04,The cup is inside the box and the lid is closed.,Minimal pair base for E08,12,"[785, 10525, 374, 4766, 279, 3745, 323, 279, 26334, 374, 7877, 13]","[""The"", ""\u0120cup"", ""\u0120is"", ""\u0120inside"", ""\u0120the"", ""\u0120box"", ""\u0120and"", ""\u0120the"", ""\u0120lid"", ""\u0120is"", ""\u0120closed"", "".""]"
E08,minimal_pair,logical_pair_variant,P04,"If the cup is inside the box, then the box contains the cup.",Minimal pair logic variant,15,"[2679, 279, 10525, 374, 4766, 279, 3745, 11, 1221, 279, 3745, 5610, 279, 10525, 13]","[""If"", ""\u0120the"", ""\u0120cup"", ""\u0120is"", ""\u0120inside"", ""\u0120the"", ""\u0120box"", "","", ""\u0120then"", ""\u0120the"", ""\u0120box"", ""\u0120contains"", ""\u0120the"", ""\u0120cup"", "".""]"
E09,minimal_pair,descriptive_pair_base,P05,Every rose is red and this flower smells sweet tonight.,Minimal pair base for E10,11,"[11510, 16009, 374, 2518, 323, 419, 22351, 49637, 10226, 17913, 13]","[""Every"", ""\u0120rose"", ""\u0120is"", ""\u0120red"", ""\u0120and"", ""\u0120this"", ""\u0120flower"", ""\u0120smells"", ""\u0120sweet"", ""\u0120tonight"", "".""]"
E10,minimal_pair,logical_pair_variant,P05,"If every rose is red, then this flower is red.",Minimal pair logic variant,12,"[2679, 1449, 16009, 374, 2518, 11, 1221, 419, 22351, 374, 2518, 13]","[""If"", ""\u0120every"", ""\u0120rose"", ""\u0120is"", ""\u0120red"", "","", ""\u0120then"", ""\u0120this"", ""\u0120flower"", ""\u0120is"", ""\u0120red"", "".""]"
